rating;ulasan;produk_terjual;produk_dijual;lama_bergabung;lama_balas_chat;voucher
5;7;1;100;1;3;0
4.7;752;1;635;5;6;0
4.9;1443;3;113;2;5;1
4.7;47;1;80;1;1;1
5;25;1;40;2;0.5;1
4.9;31;1;116;6;8;1
4.9;90;1;103;1;0.25;1
4.8;3331;4;288;7;0.3333333333;1
4.9;119;1;132;2;0;0
4.9;17;1;24;1;8;0
4.9;204;2;121;2;3;1
5;24;1;11;1;0.25;0
4.9;29;1;63;5;4;0
4.9;612;2;72;5;1;0
4.9;2100;4;50;3;7;1
4.8;2465;3;68;6;3;0
4.9;51;1;39;2;0.06666666667;0
5;198;2;46;4;1;0
4.7;126;2;79;3;3;1
4.9;50;1;49;2;2;0
4.9;125;2;636;3;3;0
4.9;2041;1;36;4;2;1
4.9;876;1;80;4;4;1
4.9;280;1;80;1;4;1
4.9;3474;4;96;2;1;1
4.8;1788;4;80;4;0.25;0
4.9;1937;2;80;4;8;0
4.8;3779;3;87;2;8;1
4.9;1017;1;490;4;7;1
4.9;583;2;90;4;4;0
4.9;978;2;413;3;3;1
4.9;1448;2;86;3;2;0
4.9;247;1;134;1;5;1
4.7;2263;4;35;4;7;1
4.9;1113;4;8;1;8;1
4.8;889;2;197;3;3;1
4.9;457;4;21;4;1;1
4.9;4706;4;439;7;2;0
5;36;1;101;5;5;1
4.9;216;4;187;4;4;0
4.8;75;2;2;2;4;0
4.9;581;2;20;3;6;1
4.9;704;3;168;4;8;1
4.7;1198;3;287;2;1;1
4.8;468;2;270;4;5;0
4.8;3132;4;316;6;2;1
4.8;67;1;51;1;8;0
4.8;302;1;130;2;2;0
4.9;332;2;293;2;2;1
4.9;81;1;295;3;0.6833333333;0
4.9;88;1;230;2;0.9166666667;1
4.9;798;2;143;2;0.5666666667;0
4.9;2560;3;456;4;1;1
4.9;52;1;171;2;6;0
4.8;622;2;59;2;4;0
4.9;208;1;83;1;4;0
4.9;524;2;56;3;8;1
4.9;3520;4;160;5;5;1
4.9;1922;3;240;2;0.966666667;1
5;227;1;160;5;6;1
4.9;90;1;80;2;7;0
4.8;1125;1;480;3;2;0
4.8;396;1;80;2;1;1
4.9;219;1;80;3;7;0
4.8;801;1;80;1;5;1
5;236;1;80;2;0.166666667;1
5;158;1;320;2;5;1
4.9;459;1;80;2;5;0
4.9;679;1;160;2;7;0
4.8;239;1;80;0;0.066666667;1
5;44;1;80;2;0.55;1
4.7;395;1;320;1;10;1
4.9;4436;4;320;3;6;1
4.8;408;2;41;2;6;1
4.7;2012;3;73;6;7;1
4.7;824;2;146;1;6;1
4.9;1393;3;39;1;4;1
4.8;772;2;25;6;5;1
4.9;343;1;13;5;3;1
5;1466;2;159;3;5;1
4.9;47;1;30;1;3;0
4.9;109;1;215;1;8;1
4.9;112;1;77;2;1;1
4.9;694;2;487;5;7;1
5;2192;4;28;1;2;1
4.9;265;2;32;5;3;0
4.9;1040;2;110;4;2;0
4.9;1658;1;407;3;0.933333;1
4.7;184;2;23;5;4;1
4.9;175;1;433;2;2;1
4.9;937;2;46;5;1;1
4.8;147;1;129;2;0.15;1
4.9;588;1;31;6;8;0
